Timestamp,كم يبلغ عمرك,الجنس,  ​ما هو نوع الخدمة التي تلقيتها اليوم/خلال زيارتك الأخيرة؟  ,  هل هذه زيارتك الأولى لهذه المنشأة؟  ,  أنت  ,"   كيف تقيّم سهولة الحصول على موعد؟ (1: صعب جداً، 5: سهل جداً) ",  ما هي المدة التي انتظرتها من وقت حجز الموعد حتى يوم الكشف الفعلي؟  ,"  كيف تقيّم سهولة الوصول إلى موقع المستشفى/الوحدة الصحية؟   (1: صعب جداً، 5: سهل جداً)",  هل كانت اللافتات الإرشادية داخل المنشأة واضحة وكافية للوصول إلى وجهتك؟  ,"  كيف تقيّم لطف وحسن تعامل موظفي الاستقبال؟ (1:سئ، 5: ممتاز)",  ما هي مدة انتظارك في منطقة الاستقبال قبل تسجيل بياناتك؟,"  كيف تقيّم وضوح الإجراءات المتبعة عند التسجيل؟ (1:سئ، 5: ممتاز) ","  ما مدى رضاك عن نظافة ومستوى الراحة في منطقة الانتظار الرئيسية؟  (1:سئ، 5: ممتاز)",  كم من الوقت انتظرت في منطقة الانتظار قبل رؤية الطبيب؟  ,"  كيف تقيّم مدى اهتمام الممرض/الممرضة بالاستماع إليك؟ (1:سئ، 5: ممتاز)","  إلى أي مدى شعرت بالاحترام والتعاطف من قبل فريق التمريض؟   (1:سئ، 5: ممتاز)",  هل قام فريق التمريض بتقديم أنفسهم وشرح الإجراءات التي يقومون بها؟  ,"  كيف تقيّم سرعة استجابة التمريض عند طلب المساعدة؟ ​ سهل جداً  (1:سئ، 5: ممتاز)",  هل استمع الطبيب جيداً لشرحك لحالتك الصحية؟  ,"  ما مدى رضاك عن الوقت الذي خصصه الطبيب لك؟   (1:سئ، 5: ممتاز)","  كيف تقيّم وضوح شرح الطبيب لتشخيص حالتك؟   (1:سئ، 5: ممتاز)",  هل أشركك الطبيب في القرارات المتعلقة بخطتك العلاجية؟  ,  هل شعرت بالراحة في طرح الأسئلة على الطبيب؟  ,  هل أجاب الطبيب على جميع استفساراتك بطريقة مفهومة؟  ,"  كيف تقيّم مستوى الثقة الذي شعرت به تجاه طبيبك المعالج؟   (1:سئ، 5: ممتاز)","  كيف تقيّم مستوى نظافة الغرف؟ (1:سئ، 5: ممتاز)",  هل شعرت بأن خصوصيتك تم احترامها أثناء الكشف والعلاج؟  ,"  كيف تقيّم مستوى الهدوء وقلة الإزعاج في المنشأة؟   (1:سئ، 5: ممتاز)","  ما مدى رضاك عن جودة الوجبات المقدمة (في حال الاقامة)؟   (1:سئ، 5: ممتاز)","  هل كانت المرافق (مثل دورات المياه، الكافيتريا) متاحة وسهلة الاستخدام؟  ",  هل تم شرح الفحوصات أو الإجراءات الطبية لك بوضوح قبل إجرائها؟  ,"  إذا كنت تعاني من ألم، كيف تقيّم اهتمام الفريق الطبي بالسيطرة عليه؟  (1:سئ، 5: ممتاز)","  هل تم تزويدك بمعلومات واضحة حول الأدوية التي وصفت لك (الجرعة، الآثار الجانبية)؟  ",  كيف تقيّم التنسيق بين الأقسام المختلفة (مثلاً بين الطبيب والمختبر والأشعة)؟,"   كيف تقيّم وضوح الفواتير والتكاليف المالية للخدمة؟    (1:سئ، 5: ممتاز)",  هل قام الموظفون بشرح ما يغطيه تأمينك الصحي (إن وجد) بوضوح؟  ,"  كيف تقيّم سهولة وسرعة إجراءات الخروج من المستشفى (في حال الاقامة)؟  (1: صعب جداً، 5: سهل جداً)","  بشكل عام، ما مدى رضاك عن الرعاية التي تلقيتها في هذه الزيارة؟   (1:سئ، 5: ممتاز)","  إلى أي مدى توصي بالمنشأت الصحية الحكومية لعائلتك وأصدقائك؟  (1:سئ، 5: ممتاز)",  ما هو أفضل شيء في التجربة التي مررت بها؟  ,  ما هو أكثر شيء يحتاج إلى تحسين من وجهة نظرك؟  ,  هل لديك أي اقتراحات إضافية للمساعدة في تحسين خدماتنا؟  ,"كيف تقييم الراحة فى الدفع؟  (1:سئ، 5: ممتاز)",هل هناك طرق مختلفة للدفع؟,"  كيف تقيّم مستوى نظافة الممرات؟  (1:سئ، 5: ممتاز)","  كيف تقيّم مستوى نظافة دورات المياه؟     (1:سئ، 5: ممتاز)"
07/10/2025 19:45:37,18 year - 29 year,ذكر,كشف في عيادة خارجية,نعم,مرافق,4,دقيقة - 30 دقيقة,5,نعم,4,دقيقة - 30 دقيقة,4,5,دقيقة - 30 دقيقة,5,5,نعم,5,نعم,5,4,نعم,ربما,نعم,5,5,نعم,5,5,نعم,نعم,5,نعم,5,4,نعم,4,5,5,"سهوله التعامل
",لا شيء,لا شيء,5,نعم,5,5
07/10/2025 19:46:20,18 year - 29 year,ذكر,كشف في عيادة خارجية,نعم,مرافق,5,دقيقة - 30 دقيقة,5,نعم,5,دقيقة - 30 دقيقة,5,5,دقيقة - 30 دقيقة,5,5,نعم,5,نعم,5,5,نعم,نعم,نعم,5,5,نعم,5,4,نعم,نعم,5,نعم,5,5,نعم,5,5,5,.,.,.,5,نعم,5,5
07/10/2025 19:47:14,18 year - 29 year,أنثى,كشف في عيادة خارجية,نعم,مرافق,5,30 دقيقة - ساعة,4,نعم,4,ساعة - ساعتين,4,4,30 دقيقة - ساعة,4,4,نعم,4,نعم,4,5,نعم,نعم,نعم,5,4,نعم,5,5,نعم,نعم,5,نعم,4,4,نعم,4,4,4,الراحه والاطمئنان ,لا شي ,لا هي جيده كفايه ,4,نعم,4,4
07/10/2025 19:51:03,18 year - 29 year,أنثى,كشف في عيادة خارجية,لا,مريض,5,30 دقيقة - ساعة,5,لا,3,دقيقة - 30 دقيقة,4,2,30 دقيقة - ساعة,1,1,لا,1,لا,2,1,لا,لا,نعم,3,4,نعم,1,1,لا,لا,3,لا,3,1,لا,2,2,1,.,.,.,1,لا,2,1
07/10/2025 19:51:31,18 year - 29 year,أنثى,إجراء فحوصات أو أشعة,لا,مريض,3,دقيقة - 30 دقيقة,5,لا,5,دقيقة - 30 دقيقة,5,5,دقيقة - 30 دقيقة,5,5,لا,3,لا,3,2,نعم,ربما,لا,3,5,نعم,3,,نعم,نعم,3,لا,2,3,نعم,,3,1,.,.,.,5,لا,5,3
07/10/2025 19:54:03,18 year - 29 year,ذكر,قسم الطوارئ,نعم,مريض,4,30 دقيقة - ساعة,3,نعم,5,دقيقة - 30 دقيقة,5,5,دقيقة - 30 دقيقة,4,5,نعم,4,نعم,4,5,نعم,نعم,نعم,5,5,نعم,4,4,نعم,نعم,4,نعم,4,5,نعم,5,5,4,الخدمة ممتازة و تعامل طاقم العمل في قمة الاحترام ,وقت الانتظار,لا,4,نعم,4,4
07/10/2025 19:55:54,60 year - more,ذكر,إجراء فحوصات أو أشعة,لا,مريض,4,ساعة - ساعتين,3,لا,1,30 دقيقة - ساعة,3,2,ساعة - ساعتين,2,2,لا,2,لا,1,2,لا,ربما,لا,3,2,ربما,1,1,لا,لا,3,لا,3,1,لا,2,1,1,لا توجد عنايه بالمريض فى كل مكان ,دورات تدريبيه للأطباء والممرضين ,اهم شىء يكون فيه ضمير من الجميع ,3,لا,2,2
07/10/2025 19:55:54,18 year - 29 year,أنثى,إجراء فحوصات أو أشعة,نعم,مريض,4,30 دقيقة - ساعة,4,نعم,4,دقيقة - 30 دقيقة,4,2,30 دقيقة - ساعة,2,2,لا,2,نعم,4,3,لا,ربما,نعم,4,2,نعم,1,,نعم,نعم,4,لا,3,3,لا,,4,4,اهتمام اكثر من طبيب بالحالة و تشخيصها,النظافة ,لا,4,لا,2,3
07/10/2025 20:00:19,18 year - 29 year,ذكر,إجراء فحوصات أو أشعة,نعم,مرافق,3,30 دقيقة - ساعة,4,نعم,5,دقيقة - 30 دقيقة,4,3,30 دقيقة - ساعة,4,5,نعم,4,نعم,4,4,نعم,نعم,نعم,4,4,نعم,4,3,نعم,نعم,4,نعم,4,4,نعم,3,4,4,سهولة تلقي العلاج,المكان حول العيادة,لا,4,نعم,3,3
07/10/2025 20:06:40,18 year - 29 year,ذكر,إجراء فحوصات أو أشعة,لا,مريض,3,30 دقيقة - ساعة,5,لا,5,30 دقيقة - ساعة,4,1,30 دقيقة - ساعة,5,5,لا,5,نعم,1,4,نعم,نعم,نعم,5,2,نعم,1,,لا,نعم,3,لا,5,5,,,4,3,أفضل شيئ قابلته كان شطارة و تمكّن الطبيب من عمله ما شاء الله عليه,أكتر من شيئ الصراحة فمثلاً نظافة المرافق مش أحسن حاجة في المستشفيات الحكومية و كذلك يعتبر مفيش هدوء بسبب العدد الكبير لو المستشفى مركزية و بيتجه ليها عدد كبير من الناس بالإضافة إلى إن الوقت المخصص للكشف بيكون قليل جداً عشان الطبيب يلحق يخلص العدد ده كله و هو ما يقلل من جودة التجربة,"لأ شكراً أهم حاجة بس ركزوا على :
وقت الكشف يكون كافي للمريض
نظافة المستشفى و ممراتها
الحفاظ على الهدوء لكي لا نزعج المرضى",5,لا,2,2
07/10/2025 20:06:42,18 year - 29 year,أنثى,كشف في عيادة خارجية,نعم,مريض,3,30 دقيقة - ساعة,2,نعم,1,30 دقيقة - ساعة,2,3,دقيقة - 30 دقيقة,1,1,لا,1,لا,1,1,لا,لا,لا,1,3,لا,2,1,لا,لا,1,لا,1,3,لا,1,1,1,لا شئ ,"الأطباء مش بيسمعو لأي بنت.
انا رحت ونا 18 سنة للعظام اتريق على الحالة و قالي اني بأڤور ف وجع رجلي عشان مروحش الدراسة (عندي تكيس 6 سنتي مفرغلي عظمي بشكل جزئي و صعب التعامل عشان العظم ميتكسرش).
و النسا بقالي من ونا 12 سنة عايزة تشخيص و كلهم بهايم بلا استثناء إلى الآن مفيش حد عايز يتعامل اصلا عشان حالتي ""نادرة"" و ""مش مشكلة اقعدي فالبيت يوم متتعبي مش حوار يعني"".
دا ١٠٠٪ عشان بنت بس ممكن بردو عشان السن مع أنه غباء يعني المرض ميعرفش سن،و اذا كنت 50 كانو هيقولو ""عادي دا مع السن بيحصل عادي"".
","لازم تنبيه لأخلاقيات المهنة و الاهتمام بالمريض و السماع و امتحان اخلاقيات الدكاترة كل شهر.
لازم يشوفو الحالة من جميع النواحي عشان الجسم مش أعضاء منفصلة هي كلها شبكات.
لازم رقابة فوقهم و surveys زي كدا لكل مريض بعد كل كشف و يقول الي حصل بكل التفاصيل،لازم الدكاترة تعرف مش عشان هم كويسين طبيا أنهم دكاترة كويسة فعلا،الدكتور الكويس حتى لو مش عارف الحالة بيرشدك لدكتور احسن منه مش بيهبد ولا بيستعبط ع الحالة.",1,نعم,3,2
07/10/2025 20:06:56,18 year - 29 year,ذكر,إجراء فحوصات أو أشعة,نعم,مرافق,3,4 ساعات - 6 ساعات,4,نعم,5,30 دقيقة - ساعة,5,5,دقيقة - 30 دقيقة,5,5,نعم,5,نعم,5,5,نعم,نعم,نعم,5,5,نعم,5,5,نعم,نعم,5,نعم,5,5,نعم,5,5,5,التعامل مع الأطباء,الهدوء,لا,5,نعم,5,5
07/10/2025 20:07:30,18 year - 29 year,أنثى,عملية جراحية,لا,مريض,2,دقيقة - 30 دقيقة,3,نعم,4,دقيقة - 30 دقيقة,3,2,دقيقة - 30 دقيقة,3,3,نعم,3,نعم,4,4,لا,نعم,نعم,4,4,ربما,3,3,نعم,نعم,4,نعم,3,4,نعم,3,4,4,حسن استماع الدكتور,نظافه الحمامات,لا,5,نعم,4,3
07/10/2025 20:08:16,18 year - 29 year,أنثى,كشف في عيادة خارجية,لا,مريض,2,ساعتين - 4 ساعات,2,نعم,3,دقيقة - 30 دقيقة,3,4,ساعتين - 4 ساعات,2,2,نعم,4,لا,5,4,نعم,ربما,لا,4,3,نعم,3,4,لا,نعم,3,نعم,4,5,,4,3,5,الطبيب,النظافة و الاهتمام و تقدير الاطباء و التمريض,النظافة و التعامل الجيد مع المريض,4,لا,3,5
07/10/2025 20:10:16,18 year - 29 year,أنثى,كشف في عيادة خارجية,لا,مرافق,3,30 دقيقة - ساعة,4,نعم,4,30 دقيقة - ساعة,4,3,30 دقيقة - ساعة,3,3,لا,3,نعم,3,3,نعم,نعم,نعم,4,4,نعم,2,2,نعم,نعم,3,نعم,2,3,نعم,,3,3,المعامله,الالتزام و الهدوء ,. ,3,نعم,4,3
07/10/2025 20:11:10,18 year - 29 year,ذكر,إجراء فحوصات أو أشعة,نعم,مرافق,5,4 ساعات - 6 ساعات,5,نعم,5,4 ساعات - 6 ساعات,5,5,4 ساعات - 6 ساعات,5,5,نعم,5,نعم,5,5,نعم,نعم,نعم,5,5,نعم,5,5,نعم,نعم,5,نعم,5,5,نعم,5,5,5,مبسوط جدا و هاجر كل مره ,لا شئ,لا شكرا ,5,نعم,5,5
07/10/2025 20:11:15,18 year - 29 year,أنثى,قسم الطوارئ,نعم,مريض,3,دقيقة - 30 دقيقة,3,نعم,4,30 دقيقة - ساعة,3,5,30 دقيقة - ساعة,3,3,نعم,4,نعم,3,4,نعم,نعم,نعم,5,5,نعم,5,5,نعم,نعم,5,نعم,4,5,نعم,5,5,5,.,.,.,4,نعم,4,4
07/10/2025 20:17:01,18 year - 29 year,ذكر,كشف في عيادة خارجية,لا,مرافق,3,16 ساعة - يوم,2,نعم,3,دقيقة - 30 دقيقة,3,3,دقيقة - 30 دقيقة,3,5,لا,5,نعم,4,5,نعم,نعم,نعم,4,4,نعم,5,5,نعم,لا,2,نعم,3,4,لا,3,3,3,زوال الألم ,السيطره على الألم ,لا,2,نعم,4,4
07/10/2025 20:17:53,18 year - 29 year,ذكر,إجراء فحوصات أو أشعة,لا,مرافق,5,دقيقة - 30 دقيقة,5,نعم,5,دقيقة - 30 دقيقة,5,5,دقيقة - 30 دقيقة,5,5,نعم,5,نعم,5,5,نعم,نعم,نعم,5,5,نعم,5,5,نعم,نعم,5,نعم,5,5,نعم,5,5,5,كله,لا شئ,لا,5,نعم,5,5
07/10/2025 20:20:08,18 year - 29 year,أنثى,كشف في عيادة خارجية,لا,مرافق,1,دقيقة - 30 دقيقة,1,نعم,4,دقيقة - 30 دقيقة,4,3,دقيقة - 30 دقيقة,3,4,لا,3,نعم,3,2,نعم,نعم,نعم,3,4,نعم,1,2,نعم,لا,3,نعم,3,3,لا,3,4,4,...,...,لا,4,نعم,3,3
07/10/2025 20:24:07,18 year - 29 year,ذكر,إجراء فحوصات أو أشعة,نعم,مرافق,3,ساعة - ساعتين,3,نعم,4,30 دقيقة - ساعة,5,3,30 دقيقة - ساعة,4,5,نعم,3,نعم,5,5,نعم,نعم,نعم,5,4,نعم,3,3,نعم,نعم,5,نعم,3,3,نعم,3,4,3,اهتمام الطبيب المعالج بتوضيح حالتي و ارشادات متعلقة بالأدوية و الجرعات ,تقليل قوائم الانتظار ,لا,3,لا,4,3
07/10/2025 20:27:45,18 year - 29 year,أنثى,قسم الطوارئ,لا,مريض,3,دقيقة - 30 دقيقة,3,نعم,1,دقيقة - 30 دقيقة,3,1,دقيقة - 30 دقيقة,3,4,لا,3,نعم,3,5,نعم,ربما,نعم,3,5,ربما,1,3,نعم,نعم,3,نعم,3,3,لا,3,4,4,.,.,.,3,لا,5,3
07/10/2025 20:28:51,18 year - 29 year,ذكر,كشف في عيادة خارجية,نعم,مرافق,4,30 دقيقة - ساعة,3,نعم,5,دقيقة - 30 دقيقة,4,3,30 دقيقة - ساعة,5,5,نعم,3,نعم,4,4,نعم,نعم,نعم,3,4,ربما,3,3,نعم,نعم,3,لا,3,3,نعم,3,4,2,All in all it was a good experience ,Employing more workers ,No nothing ,3,نعم,4,4
07/10/2025 20:36:04,18 year - 29 year,ذكر,كشف في عيادة خارجية,نعم,مرافق,5,30 دقيقة - ساعة,5,نعم,4,30 دقيقة - ساعة,5,5,30 دقيقة - ساعة,4,4,نعم,4,نعم,3,3,نعم,نعم,نعم,4,4,نعم,4,3,نعم,نعم,4,نعم,3,4,نعم,5,5,4,تعامل الممرضين,وقت الانتظار,لا,1,نعم,3,4
07/10/2025 20:36:23,18 year - 29 year,أنثى,قسم الطوارئ,نعم,مرافق,1,30 دقيقة - ساعة,3,لا,1,30 دقيقة - ساعة,2,3,30 دقيقة - ساعة,1,1,لا,1,لا,1,1,لا,لا,لا,1,2,ربما,1,1,لا,لا,1,لا,1,1,لا,3,1,1,سيئة لللغايه,المنظومه كلها,لا,1,لا,2,1
07/10/2025 20:37:00,18 year - 29 year,أنثى,إجراء فحوصات أو أشعة,نعم,مريض,5,دقيقة - 30 دقيقة,3,نعم,4,دقيقة - 30 دقيقة,5,5,دقيقة - 30 دقيقة,4,5,لا,5,نعم,5,5,نعم,نعم,نعم,5,5,نعم,5,5,نعم,نعم,5,نعم,5,5,نعم,5,5,4,الطبيب ,الحجز ,لا ,5,نعم,5,5
07/10/2025 20:37:11,18 year - 29 year,ذكر,إجراء فحوصات أو أشعة,نعم,مرافق,4,30 دقيقة - ساعة,4,نعم,4,30 دقيقة - ساعة,5,4,30 دقيقة - ساعة,4,4,نعم,3,نعم,4,4,نعم,نعم,نعم,4,4,نعم,4,4,نعم,نعم,4,نعم,4,4,نعم,4,4,4,الأمانه والخبرة ,. ,.,4,نعم,4,4
07/10/2025 20:39:27,18 year - 29 year,ذكر,كشف في عيادة خارجية,نعم,مريض,4,4 ساعات - 6 ساعات,3,نعم,3,ساعتين - 4 ساعات,3,2,ساعة - ساعتين,4,4,نعم,5,نعم,4,4,نعم,ربما,نعم,4,4,نعم,1,5,نعم,نعم,3,نعم,4,4,نعم,3,4,3,الدكاتره ,الحمامات,لا,4,لا,4,3
07/10/2025 20:39:38,18 year - 29 year,ذكر,كشف في عيادة خارجية,لا,مريض,5,دقيقة - 30 دقيقة,1,نعم,5,دقيقة - 30 دقيقة,4,5,ساعة - ساعتين,3,4,لا,3,نعم,5,5,نعم,نعم,نعم,5,5,ربما,4,4,نعم,نعم,5,نعم,4,4,نعم,5,5,5,كانت تجربة زي الفل 😘,الفورم الطويلة دي ,خف اسئلة الله يخليك,5,نعم,5,4
07/10/2025 20:40:58,18 year - 29 year,ذكر,إجراء فحوصات أو أشعة,نعم,مريض,4,ساعتين - 4 ساعات,4,نعم,4,30 دقيقة - ساعة,5,4,ساعتين - 4 ساعات,4,4,نعم,4,نعم,4,5,نعم,نعم,نعم,5,5,نعم,4,3,نعم,نعم,5,نعم,5,4,نعم,4,5,4,.,.,.,4,نعم,5,4
07/10/2025 20:41:18,18 year - 29 year,أنثى,كشف في عيادة خارجية,نعم,مرافق,4,دقيقة - 30 دقيقة,4,نعم,3,30 دقيقة - ساعة,3,3,ساعة - ساعتين,3,3,نعم,3,لا,3,3,نعم,لا,نعم,3,3,لا,3,3,لا,لا,3,لا,3,3,لا,3,3,3,لا شيء ,كل شئ ,تدريب كل الطقم,3,نعم,3,3
07/10/2025 20:47:43,18 year - 29 year,أنثى,كشف في عيادة خارجية,نعم,مريض,2,4 ساعات - 6 ساعات,2,نعم,3,30 دقيقة - ساعة,2,4,دقيقة - 30 دقيقة,2,2,نعم,4,نعم,2,3,نعم,نعم,نعم,4,4,نعم,4,4,نعم,نعم,3,نعم,4,5,نعم,4,3,3,النظافة,المواعيد,لا,4,نعم,4,4
07/10/2025 20:51:57,18 year - 29 year,ذكر,كشف في عيادة خارجية,نعم,مريض,3,ساعة - ساعتين,3,نعم,3,ساعة - ساعتين,3,3,ساعة - ساعتين,4,3,لا,3,نعم,3,3,نعم,نعم,نعم,3,3,ربما,3,2,نعم,نعم,3,نعم,3,3,نعم,3,3,3,.,..,..,3,نعم,2,2
07/10/2025 20:53:33,18 year - 29 year,أنثى,قسم الطوارئ,لا,مريض,5,30 دقيقة - ساعة,5,نعم,5,دقيقة - 30 دقيقة,5,5,دقيقة - 30 دقيقة,5,5,نعم,5,نعم,5,5,نعم,نعم,نعم,5,5,نعم,4,,نعم,نعم,5,نعم,5,5,نعم,,5,5,الدكاتره فعلاً فاهمين شغلهم ,النظافة ,اهتموا اكتر بالمرضى ,5,نعم,5,4
